point cloud with 5689 points in dimension 4
distance matrix with 5689 points
value range: [0,2.82843]
 [0,0.01131)
 [0,0.0113201)
 [0,0.0115204)
 [0,0.0115427)
 [0,0.0115679)
 [0,0.0117111)
 [0,0.011871)
 [0,0.0119455)
 [0,0.0119602)
 [0,0.0119615)
 [0,0.0119629)
 [0,0.0119629)
 [0,0.0119699)
 [0,0.0120186)
 [0,0.0120454)
 [0,0.0120471)
 [0,0.0120525)
 [0,0.0120569)
 [0,0.0120982)
 [0,0.0121105)
 [0,0.0121166)
 [0,0.0121325)
 [0,0.0121948)
 [0,0.0122314)
 [0,0.0122934)
 [0,0.0123002)
 [0,0.0123271)
 [0,0.0123708)
 [0,0.0123806)
 [0,0.0124068)
 [0,0.0124263)
 [0,0.0124372)
 [0,0.0124793)
 [0,0.0124843)
 [0,0.012502)
 [0,0.0125568)
 [0,0.0125672)
 [0,0.0126081)
 [0,0.0126662)
 [0,0.0126878)
 [0,0.012692)
 [0,0.0127257)
 [0,0.0127465)
 [0,0.0127493)
 [0,0.0127622)
 [0,0.0127954)
 [0,0.0128219)
 [0,0.012848)
 [0,0.012899)
 [0,0.0129021)
 [0,0.0130443)
 [0,0.0131296)
 [0,0.0131618)
 [0,0.0131882)
 [0,0.0132048)
 [0,0.0132799)
 [0,0.0132842)
 [0,0.0132876)
 [0,0.013306)
 [0,0.013359)
 [0,0.0133627)
 [0,0.01346)
 [0,0.0135423)
 [0,0.0135532)
 [0,0.0135646)
 [0,0.0136425)
 [0,0.0136763)
 [0,0.0137137)
 [0,0.0137685)
 [0,0.0137964)
 [0,0.0138185)
 [0,0.013842)
 [0,0.0138546)
 [0,0.0138697)
 [0,0.0139378)
 [0,0.0139617)
 [0,0.0139845)
 [0,0.0139988)
 [0,0.0140062)
 [0,0.0140152)
 [0,0.0140638)
 [0,0.014095)
 [0,0.0141055)
 [0,0.0142582)
 [0,0.0142688)
 [0,0.0143093)
 [0,0.0143285)
 [0,0.0143373)
 [0,0.0143589)
 [0,0.0144253)
 [0,0.0144283)
 [0,0.0144415)
 [0,0.0144672)
 [0,0.0145694)
 [0,0.0146521)
 [0,0.0146541)
 [0,0.0146542)
 [0,0.0146848)
 [0,0.0147073)
 [0,0.0147135)
 [0,0.0147136)
 [0,0.0148914)
 [0,0.0149035)
 [0,0.0149385)
 [0,0.0150277)
 [0,0.0150335)
 [0,0.0150565)
 [0,0.0150873)
 [0,0.0151063)
 [0,0.0151264)
 [0,0.0151624)
 [0,0.0151692)
 [0,0.0151872)
 [0,0.0151872)
 [0,0.0152141)
 [0,0.0152141)
 [0,0.015246)
 [0,0.0152502)
 [0,0.0153029)
 [0,0.0153076)
 [0,0.015338)
 [0,0.0153685)
 [0,0.015401)
 [0,0.0154983)
 [0,0.015531)
 [0,0.0155391)
 [0,0.0155487)
 [0,0.0155517)
 [0,0.0155586)
 [0,0.0155612)
 [0,0.0157012)
 [0,0.0157012)
 [0,0.0157178)
 [0,0.015733)
 [0,0.0157595)
 [0,0.0157942)
 [0,0.0158347)
 [0,0.0158453)
 [0,0.0159269)
 [0,0.0159269)
 [0,0.0159305)
 [0,0.0159532)
 [0,0.0159658)
 [0,0.0159713)
 [0,0.0159738)
 [0,0.0159821)
 [0,0.0160344)
 [0,0.0160784)
 [0,0.0160812)
 [0,0.0161053)
 [0,0.0161292)
 [0,0.0161296)
 [0,0.0161514)
 [0,0.016208)
 [0,0.0162385)
 [0,0.0162547)
 [0,0.0162694)
 [0,0.0163082)
 [0,0.0163099)
 [0,0.0163414)
 [0,0.0163414)
 [0,0.0163506)
 [0,0.0163652)
 [0,0.0163857)
 [0,0.016401)
 [0,0.0164816)
 [0,0.0165369)
 [0,0.0165387)
 [0,0.0165445)
 [0,0.0166196)
 [0,0.0166272)
 [0,0.0166924)
 [0,0.0167189)
 [0,0.016754)
 [0,0.016754)
 [0,0.016754)
 [0,0.0167897)
 [0,0.0168491)
 [0,0.0168518)
 [0,0.0168604)
 [0,0.0168738)
 [0,0.0168842)
 [0,0.0168936)
 [0,0.0169478)
 [0,0.0169551)
 [0,0.0169619)
 [0,0.0170017)
 [0,0.0170205)
 [0,0.0171131)
 [0,0.0171234)
 [0,0.0172119)
 [0,0.0172273)
 [0,0.0172606)
 [0,0.0172944)
 [0,0.0173029)
 [0,0.0173202)
 [0,0.0173282)
 [0,0.017344)
 [0,0.0173653)
 [0,0.0174187)
 [0,0.0174203)
 [0,0.0174297)
 [0,0.0174568)
 [0,0.0174593)
 [0,0.0174729)
 [0,0.0175093)
 [0,0.0175513)
 [0,0.0175529)
 [0,0.0175693)
 [0,0.0176167)
 [0,0.0176202)
 [0,0.0176374)
 [0,0.0176456)
 [0,0.0176776)
 [0,0.0176941)
 [0,0.0177475)
 [0,0.0177935)
 [0,0.0177973)
 [0,0.0178121)
 [0,0.0178182)
 [0,0.0178592)
 [0,0.0179807)
 [0,0.0180106)
 [0,0.0180132)
 [0,0.0180317)
 [0,0.0180317)
 [0,0.018076)
 [0,0.0181026)
 [0,0.0181081)
 [0,0.0181389)
 [0,0.0181891)
 [0,0.0182412)
 [0,0.0182442)
 [0,0.0182806)
 [0,0.0183145)
 [0,0.0183262)
 [0,0.0183718)
 [0,0.0183745)
 [0,0.0183907)
 [0,0.0183908)
 [0,0.018417)
 [0,0.018424)
 [0,0.0184581)
 [0,0.0184795)
 [0,0.0184802)
 [0,0.0184962)
 [0,0.018499)
 [0,0.018499)
 [0,0.0185194)
 [0,0.0185467)
 [0,0.0186432)
 [0,0.0186472)
 [0,0.0186472)
 [0,0.0186472)
 [0,0.0186472)
 [0,0.0186551)
 [0,0.0186919)
 [0,0.0187172)
 [0,0.0188373)
 [0,0.0188506)
 [0,0.0188553)
 [0,0.0188735)
 [0,0.0189252)
 [0,0.0189269)
 [0,0.0190336)
 [0,0.019058)
 [0,0.0190584)
 [0,0.0190747)
 [0,0.0191101)
 [0,0.0191207)
 [0,0.0191303)
 [0,0.0192245)
 [0,0.0192281)
 [0,0.0192415)
 [0,0.0193041)
 [0,0.0193996)
 [0,0.0194233)
 [0,0.0195182)
 [0,0.019581)
 [0,0.0195862)
 [0,0.0195992)
 [0,0.019675)
 [0,0.01971)
 [0,0.0197292)
 [0,0.0198761)
 [0,0.0198957)
 [0,0.0199289)
 [0,0.0199415)
 [0,0.0199532)
 [0,0.0200087)
 [0,0.0200324)
 [0,0.020037)
 [0,0.020048)
 [0,0.0200571)
 [0,0.0200721)
 [0,0.0201038)
 [0,0.0201086)
 [0,0.020158)
 [0,0.0202776)
 [0,0.0203027)
 [0,0.0203041)
 [0,0.0203292)
 [0,0.020432)
 [0,0.0204683)
 [0,0.0204723)
 [0,0.0205157)
 [0,0.0206341)
 [0,0.0206563)
 [0,0.0206846)
 [0,0.0206854)
 [0,0.0206914)
 [0,0.0207188)
 [0,0.0207379)
 [0,0.0207478)
 [0,0.0207774)
 [0,0.0207778)
 [0,0.0208205)
 [0,0.020846)
 [0,0.0209871)
 [0,0.0209949)
 [0,0.021115)
 [0,0.0212077)
 [0,0.0212108)
 [0,0.0212651)
 [0,0.0212766)
 [0,0.021294)
 [0,0.0213389)
 [0,0.0213754)
 [0,0.0214239)
 [0,0.0214346)
 [0,0.0214433)
 [0,0.0214526)
 [0,0.0215062)
 [0,0.0215965)
 [0,0.0215968)
 [0,0.0216056)
 [0,0.0216358)
 [0,0.021675)
 [0,0.0217952)
 [0,0.0217957)
 [0,0.0217972)
 [0,0.0217972)
 [0,0.021799)
 [0,0.0219535)
 [0,0.0219555)
 [0,0.0219575)
 [0,0.021983)
 [0,0.0220143)
 [0,0.0220578)
 [0,0.0220793)
 [0,0.0221034)
 [0,0.0221344)
 [0,0.0221368)
 [0,0.0221592)
 [0,0.0221668)
 [0,0.0221767)
 [0,0.0221843)
 [0,0.0221847)
 [0,0.0222283)
 [0,0.0222657)
 [0,0.0223036)
 [0,0.0223144)
 [0,0.0223366)
 [0,0.0223773)
 [0,0.0224909)
 [0,0.0225072)
 [0,0.0225285)
 [0,0.0225691)
 [0,0.0225929)
 [0,0.0226262)
 [0,0.022657)
 [0,0.0226935)
 [0,0.0226966)
 [0,0.0227913)
 [0,0.0228587)
 [0,0.0228781)
 [0,0.0228898)
 [0,0.0229197)
 [0,0.0229229)
 [0,0.022974)
 [0,0.0229776)
 [0,0.0229782)
 [0,0.0230091)
 [0,0.0230984)
 [0,0.0231197)
 [0,0.0231216)
 [0,0.023165)
 [0,0.0232231)
 [0,0.0232595)
 [0,0.0233068)
 [0,0.0233146)
 [0,0.0233555)
 [0,0.0233968)
 [0,0.0234264)
 [0,0.0235011)
 [0,0.0235062)
 [0,0.0235643)
 [0,0.0235878)
 [0,0.0235973)
 [0,0.0236776)
 [0,0.0236918)
 [0,0.0237015)
 [0,0.0237618)
 [0,0.0237792)
 [0,0.0238151)
 [0,0.0238278)
 [0,0.0238628)
 [0,0.0239564)
 [0,0.0240001)
 [0,0.0240296)
 [0,0.0240341)
 [0,0.0240567)
 [0,0.0240661)
 [0,0.0240699)
 [0,0.0240921)
 [0,0.0241299)
 [0,0.0241392)
 [0,0.0241434)
 [0,0.024163)
 [0,0.0242266)
 [0,0.0242994)
 [0,0.0243055)
 [0,0.0243374)
 [0,0.0243849)
 [0,0.0244219)
 [0,0.0244241)
 [0,0.0244309)
 [0,0.0244362)
 [0,0.0244393)
 [0,0.0244407)
 [0,0.0244942)
 [0,0.0245143)
 [0,0.0245336)
 [0,0.0245438)
 [0,0.0245689)
 [0,0.0245854)
 [0,0.0246988)
 [0,0.0247194)
 [0,0.0247267)
 [0,0.0247269)
 [0,0.0247553)
 [0,0.0248053)
 [0,0.0248161)
 [0,0.024841)
 [0,0.024855)
 [0,0.0249527)
 [0,0.0250456)
 [0,0.025063)
 [0,0.025076)
 [0,0.0251143)
 [0,0.0251934)
 [0,0.0252052)
 [0,0.0252195)
 [0,0.0252734)
 [0,0.0252844)
 [0,0.0252949)
 [0,0.0253005)
 [0,0.0253479)
 [0,0.0253681)
 [0,0.0254016)
 [0,0.0254374)
 [0,0.0254569)
 [0,0.0254615)
 [0,0.0254972)
 [0,0.0255334)
 [0,0.0255789)
 [0,0.0256292)
 [0,0.0256321)
 [0,0.025646)
 [0,0.0256521)
 [0,0.0256682)
 [0,0.0256731)
 [0,0.0256921)
 [0,0.0257212)
 [0,0.0257569)
 [0,0.0257691)
 [0,0.0257966)
 [0,0.0258773)
 [0,0.0258828)
 [0,0.0259102)
 [0,0.0259788)
 [0,0.0259884)
 [0,0.0260064)
 [0,0.0260187)
 [0,0.0260313)
 [0,0.0260849)
 [0,0.0260939)
 [0,0.0261519)
 [0,0.0261596)
 [0,0.0261677)
 [0,0.0261996)
 [0,0.0262245)
 [0,0.026241)
 [0,0.0262591)
 [0,0.0262755)
 [0,0.0263237)
 [0,0.0263339)
 [0,0.0264078)
 [0,0.0264146)
 [0,0.0264276)
 [0,0.0264476)
 [0,0.0264646)
 [0,0.0264708)
 [0,0.0264739)
 [0,0.0264957)
 [0,0.0265132)
 [0,0.0265292)
 [0,0.0265328)
 [0,0.0265383)
 [0,0.0265696)
 [0,0.0265777)
 [0,0.026593)
 [0,0.0266168)
 [0,0.0266641)
 [0,0.0266649)
 [0,0.0266768)
 [0,0.0266827)
 [0,0.0266859)
 [0,0.0266939)
 [0,0.0267046)
 [0,0.0267108)
 [0,0.0267421)
 [0,0.0267432)
 [0,0.0267552)
 [0,0.0267633)
 [0,0.0267789)
 [0,0.026832)
 [0,0.0268543)
 [0,0.0268607)
 [0,0.0268823)
 [0,0.0268885)
 [0,0.0269062)
 [0,0.0269785)
 [0,0.0269787)
 [0,0.0270496)
 [0,0.0270548)
 [0,0.0270822)
 [0,0.0270826)
 [0,0.0270836)
 [0,0.0272046)
 [0,0.0272959)
 [0,0.0272992)
 [0,0.0273131)
 [0,0.0273312)
 [0,0.0273662)
 [0,0.0273802)
 [0,0.0273865)
 [0,0.0274167)
 [0,0.02742)
 [0,0.0274738)
 [0,0.0274982)
 [0,0.0275321)
 [0,0.0275361)
 [0,0.0275478)
 [0,0.0275605)
 [0,0.0276092)
 [0,0.0276569)
 [0,0.0276697)
 [0,0.027764)
 [0,0.0278147)
 [0,0.0278449)
 [0,0.0278613)
 [0,0.0278814)
 [0,0.0278925)
 [0,0.0279006)
 [0,0.0279269)
 [0,0.027935)
 [0,0.027941)
 [0,0.0279872)
 [0,0.0279954)
 [0,0.0280195)
 [0,0.0280419)
 [0,0.028062)
 [0,0.0280774)
 [0,0.0280856)
 [0,0.0280986)
 [0,0.0281134)
 [0,0.0281966)
 [0,0.0282287)
 [0,0.0282336)
 [0,0.0282413)
 [0,0.0282715)
 [0,0.0282774)
 [0,0.0283053)
 [0,0.0283193)
 [0,0.0284192)
 [0,0.0284628)
 [0,0.0284879)
 [0,0.0284963)
 [0,0.0285367)
 [0,0.0285541)
 [0,0.0286567)
 [0,0.0286605)
 [0,0.0286936)
 [0,0.0287101)
 [0,0.0287305)
 [0,0.0287319)
 [0,0.0287467)
 [0,0.0287525)
 [0,0.0287745)
 [0,0.0288171)
 [0,0.0288325)
 [0,0.0288723)
 [0,0.0288816)
 [0,0.0289274)
 [0,0.0289348)
 [0,0.0289751)
 [0,0.0290039)
 [0,0.029007)
 [0,0.0290302)
 [0,0.0290414)
 [0,0.0291089)
 [0,0.0291222)
 [0,0.0291413)
 [0,0.0291805)
 [0,0.02925)
 [0,0.0292531)
 [0,0.0292696)
 [0,0.0292704)
 [0,0.0292713)
 [0,0.0292872)
 [0,0.029296)
 [0,0.0293817)
 [0,0.0293942)
 [0,0.0293955)
 [0,0.0294252)
 [0,0.0294517)
 [0,0.0295023)
 [0,0.0295195)
 [0,0.0295275)
 [0,0.0295418)
 [0,0.029573)
 [0,0.0295994)
 [0,0.0296076)
 [0,0.0296198)
 [0,0.0296617)
 [0,0.0297302)
 [0,0.0298034)
 [0,0.0298045)
 [0,0.0298795)
 [0,0.0299105)
 [0,0.0299113)
 [0,0.0299168)
 [0,0.0299893)
 [0,0.0300239)
 [0,0.030028)
 [0,0.0300694)
 [0,0.030072)
 [0,0.0300922)
 [0,0.0300989)
 [0,0.030111)
 [0,0.0301372)
 [0,0.0301517)
 [0,0.030165)
 [0,0.0301656)
 [0,0.0301844)
 [0,0.0301983)
 [0,0.0302605)
 [0,0.0302897)
 [0,0.0302934)
 [0,0.0303046)
 [0,0.0303298)
 [0,0.0303583)
 [0,0.0303779)
 [0,0.0304267)
 [0,0.0304473)
 [0,0.0304538)
 [0,0.0304628)
 [0,0.030476)
 [0,0.0304781)
 [0,0.0305149)
 [0,0.0305312)
 [0,0.0305587)
 [0,0.030611)
 [0,0.0306554)
 [0,0.0306893)
 [0,0.030696)
 [0,0.0306997)
 [0,0.0307083)
 [0,0.0307633)
 [0,0.0307958)
 [0,0.0308171)
 [0,0.030824)
 [0,0.0308271)
 [0,0.0308271)
 [0,0.0308641)
 [0,0.0308677)
 [0,0.0308734)
 [0,0.0308829)
 [0,0.0308911)
 [0,0.0308958)
 [0,0.0309078)
 [0,0.0309554)
 [0,0.0309563)
 [0,0.0309697)
 [0,0.0310001)
 [0,0.0310356)
 [0,0.0310514)
 [0,0.0310929)
 [0,0.0311042)
 [0,0.0311228)
 [0,0.0311468)
 [0,0.0311479)
 [0,0.0311641)
 [0,0.031178)
 [0,0.0311831)
 [0,0.031207)
 [0,0.0313158)
 [0,0.0313261)
 [0,0.0313717)
 [0,0.0313925)
 [0,0.0313925)
 [0,0.0313939)
 [0,0.0314204)
 [0,0.0314298)
 [0,0.0314337)
 [0,0.0314352)
 [0,0.0314442)
 [0,0.0315218)
 [0,0.0315353)
 [0,0.0315685)
 [0,0.0315709)
 [0,0.0315845)
 [0,0.0315955)
 [0,0.0316254)
 [0,0.0316533)
 [0,0.0316537)
 [0,0.0316777)
 [0,0.031779)
 [0,0.0317836)
 [0,0.0318472)
 [0,0.0318501)
 [0,0.0318749)
 [0,0.0318889)
 [0,0.0318984)
 [0,0.0319107)
 [0,0.0319196)
 [0,0.0319447)
 [0,0.0319945)
 [0,0.031999)
 [0,0.032016)
 [0,0.032038)
 [0,0.0320783)
 [0,0.0320919)
 [0,0.0321011)
 [0,0.0321156)
 [0,0.032177)
 [0,0.0321865)
 [0,0.0322007)
 [0,0.0322057)
 [0,0.0322233)
 [0,0.0322256)
 [0,0.0322685)
 [0,0.0323204)
 [0,0.0323255)
 [0,0.0323511)
 [0,0.0323528)
 [0,0.0323838)
 [0,0.0323931)
 [0,0.0324172)
 [0,0.0324572)
 [0,0.0324814)
 [0,0.0324844)
 [0,0.0325102)
 [0,0.0325411)
 [0,0.0325482)
 [0,0.0325584)
 [0,0.0325863)
 [0,0.0325868)
 [0,0.0325888)
 [0,0.0326152)
 [0,0.0326303)
 [0,0.0326328)
 [0,0.032688)
 [0,0.0327553)
 [0,0.0327601)
 [0,0.0328775)
 [0,0.0328866)
 [0,0.0328911)
 [0,0.032901)
 [0,0.0329456)
 [0,0.0329984)
 [0,0.0330123)
 [0,0.0330357)
 [0,0.0330529)
 [0,0.0330909)
 [0,0.0331072)
 [0,0.0331131)
 [0,0.0331155)
 [0,0.0331204)
 [0,0.0331351)
 [0,0.0333101)
 [0,0.0333133)
 [0,0.0333212)
 [0,0.0333373)
 [0,0.0333906)
 [0,0.0333963)
 [0,0.0334337)
 [0,0.0334358)
 [0,0.0335119)
 [0,0.0335153)
 [0,0.0335199)
 [0,0.0335199)
 [0,0.0335322)
 [0,0.033546)
 [0,0.0335635)
 [0,0.0335711)
 [0,0.0335749)
 [0,0.0335976)
 [0,0.0337073)
 [0,0.0337079)
 [0,0.0337435)
 [0,0.0337608)
 [0,0.0337694)
 [0,0.0338165)
 [0,0.0338279)
 [0,0.0338296)
 [0,0.0338578)
 [0,0.0338668)
 [0,0.0339073)
 [0,0.0339152)
 [0,0.0339169)
 [0,0.0339409)
 [0,0.0339474)
 [0,0.0339861)
 [0,0.0340499)
 [0,0.0341135)
 [0,0.034116)
 [0,0.0341519)
 [0,0.0341522)
 [0,0.0341561)
 [0,0.0341759)
 [0,0.0342034)
 [0,0.0342101)
 [0,0.0342121)
 [0,0.034237)
 [0,0.0342699)
 [0,0.0342997)
 [0,0.0343237)
 [0,0.0343455)
 [0,0.0343619)
 [0,0.0343743)
 [0,0.0343844)
 [0,0.0343913)
 [0,0.0344634)
 [0,0.0344739)
 [0,0.0345233)
 [0,0.0345411)
 [0,0.0345483)
 [0,0.0345695)
 [0,0.0345733)
 [0,0.0345743)
 [0,0.0346626)
 [0,0.0346735)
 [0,0.0346768)
 [0,0.0346895)
 [0,0.034691)
 [0,0.034696)
 [0,0.0347051)
 [0,0.0347196)
 [0,0.0347198)
 [0,0.0347209)
 [0,0.0347431)
 [0,0.0348127)
 [0,0.0348292)
 [0,0.0348318)
 [0,0.034872)
 [0,0.0348859)
 [0,0.034907)
 [0,0.0349093)
 [0,0.0349404)
 [0,0.0349614)
 [0,0.0349641)
 [0,0.0349781)
 [0,0.0350013)
 [0,0.0350104)
 [0,0.0350113)
 [0,0.035031)
 [0,0.0350452)
 [0,0.03507)
 [0,0.0350736)
 [0,0.0351002)
 [0,0.0351026)
 [0,0.0351319)
 [0,0.0351522)
 [0,0.0351662)
 [0,0.0351849)
 [0,0.0351986)
 [0,0.0352281)
 [0,0.0352349)
 [0,0.0352392)
 [0,0.0352396)
 [0,0.0352464)
 [0,0.0352483)
 [0,0.0352645)
 [0,0.0352709)
 [0,0.0352716)
 [0,0.0352811)
 [0,0.0352839)
 [0,0.0353187)
 [0,0.0353471)
 [0,0.0353638)
 [0,0.0353942)
 [0,0.0354778)
 [0,0.0354811)
 [0,0.0354928)
 [0,0.0355296)
 [0,0.0355634)
 [0,0.0355678)
 [0,0.035568)
 [0,0.0355829)
 [0,0.0356133)
 [0,0.0356153)
 [0,0.0356364)
 [0,0.035708)
 [0,0.035718)
 [0,0.0357192)
 [0,0.0357376)
 [0,0.0357515)
 [0,0.0357686)
 [0,0.0357738)
 [0,0.0357953)
 [0,0.0358355)
 [0,0.0358454)
 [0,0.0358605)
 [0,0.0358671)
 [0,0.0358671)
 [0,0.0358671)
 [0,0.0358873)
 [0,0.0358893)
 [0,0.0358922)
 [0,0.0359304)
 [0,0.0359503)
 [0,0.0359677)
 [0,0.0359866)
 [0,0.035997)
 [0,0.0360162)
 [0,0.0360344)
 [0,0.0360389)
 [0,0.0360639)
 [0,0.0360723)
 [0,0.0360757)
 [0,0.0360882)
 [0,0.0361076)
 [0,0.0361253)
 [0,0.0361298)
 [0,0.0361517)
 [0,0.0361604)
 [0,0.036175)
 [0,0.0363014)
 [0,0.0363784)
 [0,0.0363935)
 [0,0.0364122)
 [0,0.0364174)
 [0,0.0364179)
 [0,0.0364247)
 [0,0.0364325)
 [0,0.0364384)
 [0,0.0364723)
 [0,0.0364727)
 [0,0.0364743)
 [0,0.0364846)
 [0,0.036506)
 [0,0.0365136)
 [0,0.0365193)
 [0,0.0365413)
 [0,0.0365512)
 [0,0.0365844)
 [0,0.0366137)
 [0,0.0366249)
 [0,0.0366565)
 [0,0.036659)
 [0,0.0366613)
 [0,0.0366835)
 [0,0.03669)
 [0,0.0366936)
 [0,0.0367327)
 [0,0.0367343)
 [0,0.0367529)
 [0,0.0367809)
 [0,0.0367969)
 [0,0.0368094)
 [0,0.0368166)
 [0,0.0368214)
 [0,0.0368334)
 [0,0.0368408)
 [0,0.0368457)
 [0,0.0368623)
 [0,0.0368677)
 [0,0.0368865)
 [0,0.036888)
 [0,0.0369219)
 [0,0.0369725)
 [0,0.0369974)
 [0,0.0369975)
 [0,0.0370352)
 [0,0.0370436)
 [0,0.0370441)
 [0,0.0371186)
 [0,0.0371191)
 [0,0.0371625)
 [0,0.0371659)
 [0,0.0372004)
 [0,0.0372222)
 [0,0.0372716)
 [0,0.0372861)
 [0,0.0373001)
 [0,0.0373021)
 [0,0.0373262)
 [0,0.0373427)
 [0,0.0373635)
 [0,0.0373848)
 [0,0.0374222)
 [0,0.0374264)
 [0,0.0374541)
 [0,0.0374693)
 [0,0.0374798)
 [0,0.0374922)
 [0,0.0375193)
 [0,0.0375333)
 [0,0.0375413)
 [0,0.0375431)
 [0,0.0375571)
 [0,0.0375949)
 [0,0.0375976)
 [0,0.0375997)
 [0,0.0376006)
 [0,0.0376069)
 [0,0.0376165)
 [0,0.0376207)
 [0,0.0376213)
 [0,0.0376368)
 [0,0.0376428)
 [0,0.0376548)
 [0,0.0377635)
 [0,0.0377815)
 [0,0.037787)
 [0,0.0377929)
 [0,0.0378376)
 [0,0.03786)
 [0,0.0378894)
 [0,0.0378937)
 [0,0.0378941)
 [0,0.0379297)
 [0,0.0379712)
 [0,0.0380118)
 [0,0.0380441)
 [0,0.0381062)
 [0,0.0381096)
 [0,0.038114)
 [0,0.0382254)
 [0,0.0382284)
 [0,0.0382338)
 [0,0.0382368)
 [0,0.0382409)
 [0,0.0382794)
 [0,0.0382868)
 [0,0.0383099)
 [0,0.038318)
 [0,0.0383191)
 [0,0.0383441)
 [0,0.0383603)
 [0,0.0383612)
 [0,0.0383731)
 [0,0.0383859)
 [0,0.0383944)
 [0,0.0383995)
 [0,0.0384002)
 [0,0.0384122)
 [0,0.0384176)
 [0,0.0384273)
 [0,0.0384594)
 [0,0.0384684)
 [0,0.0384799)
 [0,0.0385125)
 [0,0.0385866)
 [0,0.0386493)
 [0,0.0386947)
 [0,0.0387427)
 [0,0.0388138)
 [0,0.0388186)
 [0,0.0388288)
 [0,0.0388482)
 [0,0.0388625)
 [0,0.0388736)
 [0,0.0388811)
 [0,0.0388928)
 [0,0.0389767)
 [0,0.0389962)
 [0,0.0389995)
 [0,0.0390558)
 [0,0.0390874)
 [0,0.0391189)
 [0,0.0391499)
 [0,0.0391635)
 [0,0.0391851)
 [0,0.0392222)
 [0,0.0392236)
 [0,0.0393061)
 [0,0.0393273)
 [0,0.0393641)
 [0,0.0393783)
 [0,0.0393981)
 [0,0.0394088)
 [0,0.0394236)
 [0,0.0394439)
 [0,0.039447)
