point cloud with 15000 points in dimension 3
distance matrix with 15000 points
value range: [0.0778989,14.0916]
 [0,0.0818589)
 [0,0.0818695)
 [0,0.081877)
 [0,0.081898)
 [0,0.0819005)
 [0,0.0819148)
 [0,0.0819182)
 [0,0.0819194)
 [0,0.0819511)
 [0,0.081974)
 [0,0.081988)
 [0,0.0819929)
 [0,0.0819976)
 [0,0.0820173)
 [0,0.0820187)
 [0,0.0820297)
 [0,0.082032)
 [0,0.0820422)
 [0,0.0820466)
 [0,0.082048)
 [0,0.0820573)
 [0,0.0820696)
 [0,0.0820764)
 [0,0.082077)
 [0,0.0820781)
 [0,0.0820879)
 [0,0.0820968)
 [0,0.0820998)
 [0,0.0821031)
 [0,0.0821099)
 [0,0.0821189)
 [0,0.0821388)
 [0,0.0821396)
 [0,0.0821461)
 [0,0.0821548)
 [0,0.0821663)
 [0,0.0821902)
 [0,0.0821916)
 [0,0.0822423)
 [0,0.0822427)
 [0,0.0822504)
 [0,0.0822595)
 [0,0.0822795)
 [0,0.0822862)
 [0,0.0822911)
 [0,0.0822932)
 [0,0.0822936)
 [0,0.0822968)
 [0,0.0823024)
 [0,0.0823126)
 [0,0.0823131)
 [0,0.0823146)
 [0,0.0823149)
 [0,0.0823436)
 [0,0.0823443)
 [0,0.0823459)
 [0,0.082357)
 [0,0.0823586)
 [0,0.0823684)
 [0,0.0823838)
 [0,0.0823907)
 [0,0.0824063)
 [0,0.0824092)
 [0,0.0824098)
 [0,0.0824115)
 [0,0.0824138)
 [0,0.0824144)
 [0,0.0824193)
 [0,0.0824212)
 [0,0.0824285)
 [0,0.0824351)
 [0,0.0824385)
 [0,0.0824421)
 [0,0.0824537)
 [0,0.0824744)
 [0,0.0824929)
 [0,0.0824968)
 [0,0.0825015)
 [0,0.0825046)
 [0,0.082511)
 [0,0.0825227)
 [0,0.0825337)
 [0,0.0825355)
 [0,0.0825727)
 [0,0.082577)
 [0,0.0825785)
 [0,0.0826002)
 [0,0.0826031)
 [0,0.0826041)
 [0,0.0826074)
 [0,0.0826156)
 [0,0.0826174)
 [0,0.0826175)
 [0,0.0826359)
 [0,0.0826407)
 [0,0.0826473)
 [0,0.0826582)
 [0,0.0826639)
 [0,0.0826656)
 [0,0.0826664)
 [0,0.0826704)
 [0,0.0826724)
 [0,0.082684)
 [0,0.0826863)
 [0,0.0826968)
 [0,0.0827016)
 [0,0.0827191)
 [0,0.0827228)
 [0,0.082742)
 [0,0.0827582)
 [0,0.0827655)
 [0,0.0827761)
 [0,0.0827827)
 [0,0.0827864)
 [0,0.0827894)
 [0,0.0828033)
 [0,0.0828094)
 [0,0.0828131)
 [0,0.0828141)
 [0,0.0828181)
 [0,0.0828193)
 [0,0.0828214)
 [0,0.0828291)
 [0,0.0828298)
 [0,0.0828362)
 [0,0.0828445)
 [0,0.0828487)
 [0,0.0828633)
 [0,0.0828744)
 [0,0.0828853)
 [0,0.0828858)
 [0,0.0828862)
 [0,0.0828934)
 [0,0.0829115)
 [0,0.0829134)
 [0,0.082926)
 [0,0.0829276)
 [0,0.0829291)
 [0,0.0829361)
 [0,0.0829399)
 [0,0.0829793)
 [0,0.08298)
 [0,0.0829854)
 [0,0.0829929)
 [0,0.0830002)
 [0,0.0830185)
 [0,0.0830221)
 [0,0.083028)
 [0,0.0830354)
 [0,0.0830379)
 [0,0.0830425)
 [0,0.0830495)
 [0,0.0830529)
 [0,0.0830576)
 [0,0.0830585)
 [0,0.0830607)
 [0,0.0830694)
 [0,0.083075)
 [0,0.0830778)
 [0,0.083088)
 [0,0.0830934)
 [0,0.0830979)
 [0,0.0831136)
 [0,0.0831139)
 [0,0.0831162)
 [0,0.0831165)
 [0,0.0831259)
 [0,0.0831339)
 [0,0.083137)
 [0,0.0831384)
 [0,0.0831424)
 [0,0.0831463)
 [0,0.0831902)
 [0,0.0831911)
 [0,0.0832011)
 [0,0.083202)
 [0,0.0832042)
 [0,0.0832101)
 [0,0.0832165)
 [0,0.08322)
 [0,0.0832228)
 [0,0.0832302)
 [0,0.0832412)
 [0,0.0832478)
 [0,0.0832532)
 [0,0.0832686)
 [0,0.083269)
 [0,0.0832759)
 [0,0.0832795)
 [0,0.0832838)
 [0,0.0832838)
 [0,0.083287)
 [0,0.0832962)
 [0,0.0832993)
 [0,0.0833324)
 [0,0.0833616)
 [0,0.0833645)
 [0,0.0833703)
 [0,0.0833738)
 [0,0.0834084)
 [0,0.0834087)
 [0,0.0834177)
 [0,0.0834188)
 [0,0.0834275)
 [0,0.0834408)
 [0,0.083444)
 [0,0.0834441)
 [0,0.0834449)
 [0,0.083459)
 [0,0.0834678)
 [0,0.0834772)
 [0,0.0834895)
 [0,0.0834916)
 [0,0.0834942)
 [0,0.0834979)
 [0,0.0835012)
 [0,0.0835171)
 [0,0.0835215)
 [0,0.0835291)
 [0,0.0835316)
 [0,0.0835416)
 [0,0.0835463)
 [0,0.0835502)
 [0,0.0835558)
 [0,0.0835564)
 [0,0.0835569)
 [0,0.0835615)
 [0,0.083579)
 [0,0.0835864)
 [0,0.0835979)
 [0,0.0836083)
 [0,0.0836144)
 [0,0.08362)
 [0,0.0836207)
 [0,0.0836215)
 [0,0.0836319)
 [0,0.0836334)
 [0,0.0836338)
 [0,0.0836342)
 [0,0.0836351)
 [0,0.0836427)
 [0,0.0836682)
 [0,0.0836835)
 [0,0.0837071)
 [0,0.0837227)
 [0,0.0837381)
 [0,0.0837454)
 [0,0.0837547)
 [0,0.0837643)
 [0,0.0837787)
 [0,0.0837814)
 [0,0.0837816)
 [0,0.0837877)
 [0,0.0837884)
 [0,0.0837898)
 [0,0.0837932)
 [0,0.0838017)
 [0,0.0838049)
 [0,0.0838113)
 [0,0.083813)
 [0,0.0838139)
 [0,0.0838323)
 [0,0.0838325)
 [0,0.0838335)
 [0,0.0838339)
 [0,0.0838355)
 [0,0.0838384)
 [0,0.0838417)
 [0,0.0838474)
 [0,0.0838499)
 [0,0.0838626)
 [0,0.0838811)
 [0,0.0838894)
 [0,0.0839051)
 [0,0.0839111)
 [0,0.0839154)
 [0,0.0839167)
 [0,0.0839244)
 [0,0.0839276)
 [0,0.0839452)
 [0,0.0839489)
 [0,0.0839507)
 [0,0.0839578)
 [0,0.0839581)
 [0,0.0839597)
 [0,0.083971)
 [0,0.0839723)
 [0,0.0839778)
 [0,0.083981)
 [0,0.0839874)
 [0,0.0840004)
 [0,0.084008)
 [0,0.08401)
 [0,0.08401)
 [0,0.0840125)
 [0,0.0840162)
 [0,0.084022)
 [0,0.0840276)
 [0,0.0840338)
 [0,0.0840376)
 [0,0.0840405)
 [0,0.084045)
 [0,0.0840463)
 [0,0.0840488)
 [0,0.0840536)
 [0,0.0840599)
 [0,0.084063)
 [0,0.0840778)
 [0,0.0840795)
 [0,0.0840862)
 [0,0.084091)
 [0,0.0840938)
 [0,0.0841111)
 [0,0.0841132)
 [0,0.0841197)
 [0,0.08412)
 [0,0.0841201)
 [0,0.0841204)
 [0,0.0841293)
 [0,0.084133)
 [0,0.0841368)
 [0,0.0841414)
 [0,0.0841515)
 [0,0.0841573)
 [0,0.0841694)
 [0,0.0841707)
 [0,0.0841731)
 [0,0.0841737)
 [0,0.0841801)
 [0,0.0842037)
 [0,0.084206)
 [0,0.084207)
 [0,0.0842073)
 [0,0.0842113)
 [0,0.0842127)
 [0,0.0842191)
 [0,0.0842195)
 [0,0.0842264)
 [0,0.0842291)
 [0,0.08424)
 [0,0.0842403)
 [0,0.0842441)
 [0,0.0842655)
 [0,0.0842669)
 [0,0.0842736)
 [0,0.0842786)
 [0,0.0842922)
 [0,0.084297)
 [0,0.0843112)
 [0,0.0843207)
 [0,0.0843208)
 [0,0.084323)
 [0,0.0843231)
 [0,0.0843261)
 [0,0.0843265)
 [0,0.0843316)
 [0,0.0843344)
 [0,0.0843371)
 [0,0.0843426)
 [0,0.0843504)
 [0,0.0843521)
 [0,0.0843534)
 [0,0.084355)
 [0,0.0843553)
 [0,0.08437)
 [0,0.0843793)
 [0,0.0843838)
 [0,0.0843886)
 [0,0.0843925)
 [0,0.0844024)
 [0,0.0844123)
 [0,0.0844141)
 [0,0.0844142)
 [0,0.0844164)
 [0,0.0844194)
 [0,0.0844236)
 [0,0.0844251)
 [0,0.0844548)
 [0,0.0844589)
 [0,0.0844627)
 [0,0.0844657)
 [0,0.0844721)
 [0,0.084484)
 [0,0.0844882)
 [0,0.0844984)
 [0,0.0845095)
 [0,0.0845152)
 [0,0.0845154)
 [0,0.0845384)
 [0,0.084548)
 [0,0.0845553)
 [0,0.0845618)
 [0,0.0845632)
 [0,0.0845655)
 [0,0.0845659)
 [0,0.08457)
 [0,0.0845829)
 [0,0.0845901)
 [0,0.0845911)
 [0,0.0845972)
 [0,0.084612)
 [0,0.0846196)
 [0,0.0846329)
 [0,0.0846387)
 [0,0.0846391)
 [0,0.0846395)
 [0,0.0846502)
 [0,0.0846519)
 [0,0.0846567)
 [0,0.0846602)
 [0,0.0846605)
 [0,0.0846611)
 [0,0.0846698)
 [0,0.0846722)
 [0,0.0846738)
 [0,0.0846807)
 [0,0.0846815)
 [0,0.0846851)
 [0,0.0846866)
 [0,0.0846885)
 [0,0.0846907)
 [0,0.084695)
 [0,0.0846963)
 [0,0.0846974)
 [0,0.0847071)
 [0,0.0847085)
 [0,0.0847104)
 [0,0.0847174)
 [0,0.0847183)
 [0,0.0847185)
 [0,0.0847264)
 [0,0.0847399)
 [0,0.0847422)
 [0,0.0847492)
 [0,0.0847503)
 [0,0.0847511)
 [0,0.0847622)
 [0,0.0847658)
 [0,0.0847686)
 [0,0.0847784)
 [0,0.0847825)
 [0,0.0847852)
 [0,0.0847997)
 [0,0.0847998)
 [0,0.0848053)
 [0,0.0848134)
 [0,0.0848166)
 [0,0.084825)
 [0,0.0848251)
 [0,0.0848342)
 [0,0.0848483)
 [0,0.0848553)
 [0,0.0848641)
 [0,0.0848777)
 [0,0.0848781)
 [0,0.0848878)
 [0,0.0848894)
 [0,0.0848934)
 [0,0.0849021)
 [0,0.0849082)
 [0,0.0849112)
 [0,0.0849121)
 [0,0.0849138)
 [0,0.084914)
 [0,0.0849157)
 [0,0.0849186)
 [0,0.0849189)
 [0,0.084919)
 [0,0.0849254)
 [0,0.0849494)
 [0,0.0849552)
 [0,0.0849552)
 [0,0.0849564)
 [0,0.0849583)
 [0,0.0849584)
 [0,0.0849599)
 [0,0.0849619)
 [0,0.0849646)
 [0,0.0849651)
 [0,0.0849658)
 [0,0.0849753)
 [0,0.084976)
 [0,0.084978)
 [0,0.0849793)
 [0,0.0849796)
 [0,0.0849845)
 [0,0.0849983)
 [0,0.0850063)
 [0,0.0850147)
 [0,0.0850156)
 [0,0.085063)
 [0,0.0850637)
 [0,0.0850664)
 [0,0.0850682)
 [0,0.0850728)
 [0,0.0850804)
 [0,0.0850814)
 [0,0.0850832)
 [0,0.0850927)
 [0,0.085096)
 [0,0.0850985)
 [0,0.0851153)
 [0,0.0851198)
 [0,0.0851205)
 [0,0.0851238)
 [0,0.0851464)
 [0,0.0851493)
 [0,0.0851531)
 [0,0.0851545)
 [0,0.085158)
 [0,0.0851602)
 [0,0.0851689)
 [0,0.0851778)
 [0,0.0852028)
 [0,0.0852039)
 [0,0.0852039)
 [0,0.0852052)
 [0,0.0852066)
 [0,0.0852089)
 [0,0.0852133)
 [0,0.0852193)
 [0,0.0852222)
 [0,0.0852414)
 [0,0.0852457)
 [0,0.0852496)
 [0,0.08526)
 [0,0.0852613)
 [0,0.0852619)
 [0,0.0852674)
 [0,0.0852827)
 [0,0.0852833)
 [0,0.0852839)
 [0,0.0852904)
 [0,0.0852941)
 [0,0.0852965)
 [0,0.0852997)
 [0,0.0853033)
 [0,0.0853038)
 [0,0.0853066)
 [0,0.0853163)
 [0,0.0853202)
 [0,0.0853209)
 [0,0.0853273)
 [0,0.085331)
 [0,0.0853312)
 [0,0.0853397)
 [0,0.0853451)
 [0,0.0853453)
 [0,0.0853482)
 [0,0.0853542)
 [0,0.085355)
 [0,0.0853578)
 [0,0.0853583)
 [0,0.0853632)
 [0,0.085366)
 [0,0.085367)
 [0,0.0853727)
 [0,0.0853734)
 [0,0.0853749)
 [0,0.0853829)
 [0,0.0853934)
 [0,0.0853983)
 [0,0.0854094)
 [0,0.0854156)
 [0,0.085418)
 [0,0.0854256)
 [0,0.0854311)
 [0,0.0854318)
 [0,0.0854328)
 [0,0.0854351)
 [0,0.0854355)
 [0,0.0854478)
 [0,0.0854503)
 [0,0.0854585)
 [0,0.0854606)
 [0,0.0854622)
 [0,0.0854667)
 [0,0.0854719)
 [0,0.0854775)
 [0,0.0854802)
 [0,0.085481)
 [0,0.0854867)
 [0,0.0854966)
 [0,0.0854967)
 [0,0.0854976)
 [0,0.0855021)
 [0,0.0855028)
 [0,0.0855051)
 [0,0.0855095)
 [0,0.0855118)
 [0,0.0855151)
 [0,0.0855208)
 [0,0.0855225)
 [0,0.085523)
 [0,0.0855234)
 [0,0.0855261)
 [0,0.0855379)
 [0,0.0855436)
 [0,0.0855494)
 [0,0.085551)
 [0,0.0855577)
 [0,0.0855635)
 [0,0.0855733)
 [0,0.0855787)
 [0,0.0855814)
 [0,0.0855826)
 [0,0.0855866)
 [0,0.0855948)
 [0,0.0856019)
 [0,0.0856025)
 [0,0.0856045)
 [0,0.0856104)
 [0,0.0856115)
 [0,0.0856165)
 [0,0.0856184)
 [0,0.0856203)
 [0,0.0856234)
 [0,0.0856263)
 [0,0.0856299)
 [0,0.0856339)
 [0,0.0856345)
 [0,0.0856356)
 [0,0.0856373)
 [0,0.0856424)
 [0,0.0856614)
 [0,0.0856671)
 [0,0.0856691)
 [0,0.0856752)
 [0,0.0856764)
 [0,0.0856951)
 [0,0.0856973)
 [0,0.0857037)
 [0,0.0857113)
 [0,0.0857294)
 [0,0.0857371)
 [0,0.0857375)
 [0,0.08574)
 [0,0.0857416)
 [0,0.085754)
 [0,0.0857566)
 [0,0.0857572)
 [0,0.0857588)
 [0,0.0857725)
 [0,0.0857782)
 [0,0.0857792)
 [0,0.0857808)
 [0,0.0857908)
 [0,0.0857909)
 [0,0.0857938)
 [0,0.0858004)
 [0,0.0858063)
 [0,0.0858126)
 [0,0.0858126)
 [0,0.0858129)
 [0,0.0858156)
 [0,0.0858159)
 [0,0.0858184)
 [0,0.0858264)
 [0,0.0858305)
 [0,0.0858314)
 [0,0.0858381)
 [0,0.0858443)
 [0,0.085849)
 [0,0.0858511)
 [0,0.0858537)
 [0,0.0858655)
 [0,0.0858691)
 [0,0.0858707)
 [0,0.0858777)
 [0,0.08588)
 [0,0.0858829)
 [0,0.0859087)
 [0,0.0859165)
 [0,0.0859229)
 [0,0.0859248)
 [0,0.0859408)
 [0,0.0859422)
 [0,0.0859451)
 [0,0.0859508)
 [0,0.0859626)
 [0,0.085964)
 [0,0.0859654)
 [0,0.0859659)
 [0,0.0859713)
 [0,0.0859781)
 [0,0.0859812)
 [0,0.085984)
 [0,0.0859854)
 [0,0.0859914)
 [0,0.0859993)
 [0,0.0860029)
 [0,0.0860087)
 [0,0.0860123)
 [0,0.0860168)
 [0,0.0860175)
 [0,0.0860185)
 [0,0.0860193)
 [0,0.0860265)
 [0,0.0860308)
 [0,0.0860386)
 [0,0.0860398)
 [0,0.086052)
 [0,0.0860576)
 [0,0.0860593)
 [0,0.0860662)
 [0,0.0860706)
 [0,0.0860835)
 [0,0.0860839)
 [0,0.0860863)
 [0,0.0860909)
 [0,0.0860976)
 [0,0.0861056)
 [0,0.0861094)
 [0,0.0861108)
 [0,0.0861194)
 [0,0.0861209)
 [0,0.0861222)
 [0,0.0861243)
 [0,0.0861267)
 [0,0.0861342)
 [0,0.0861361)
 [0,0.0861365)
 [0,0.0861408)
 [0,0.0861482)
 [0,0.0861488)
 [0,0.0861512)
 [0,0.0861517)
 [0,0.0861543)
 [0,0.086155)
 [0,0.0861668)
 [0,0.0861682)
 [0,0.0861797)
 [0,0.0861873)
 [0,0.0861925)
 [0,0.0861958)
 [0,0.0862083)
 [0,0.0862086)
 [0,0.0862116)
 [0,0.0862229)
 [0,0.0862267)
 [0,0.0862325)
 [0,0.0862336)
 [0,0.0862428)
 [0,0.0862439)
 [0,0.0862468)
 [0,0.0862581)
 [0,0.0862622)
 [0,0.0862693)
 [0,0.0862795)
 [0,0.0862825)
 [0,0.0862925)
 [0,0.0862946)
 [0,0.0863043)
 [0,0.0863127)
 [0,0.0863202)
 [0,0.0863247)
 [0,0.0863383)
 [0,0.0863481)
 [0,0.0863486)
 [0,0.0863487)
 [0,0.0863514)
 [0,0.0863579)
 [0,0.0863606)
 [0,0.0863728)
 [0,0.0863764)
 [0,0.086381)
 [0,0.0863818)
 [0,0.0863845)
 [0,0.0863896)
 [0,0.0863897)
 [0,0.0864025)
 [0,0.0864033)
 [0,0.0864093)
 [0,0.08641)
 [0,0.0864111)
 [0,0.0864229)
 [0,0.0864326)
 [0,0.0864338)
 [0,0.0864368)
 [0,0.0864371)
 [0,0.0864382)
 [0,0.0864482)
 [0,0.0864523)
 [0,0.086456)
 [0,0.0864626)
 [0,0.0864672)
 [0,0.0864705)
 [0,0.086476)
 [0,0.0864782)
 [0,0.0864791)
 [0,0.0864836)
 [0,0.0865025)
 [0,0.0865102)
 [0,0.0865127)
 [0,0.0865276)
 [0,0.0865289)
 [0,0.0865378)
 [0,0.0865471)
 [0,0.08655)
 [0,0.0865702)
 [0,0.0865721)
 [0,0.0865725)
 [0,0.0865818)
 [0,0.086582)
 [0,0.086583)
 [0,0.0865832)
 [0,0.0865854)
 [0,0.0865876)
 [0,0.0865974)
 [0,0.086599)
 [0,0.0866033)
 [0,0.0866111)
 [0,0.0866167)
 [0,0.0866203)
 [0,0.0866244)
 [0,0.0866256)
 [0,0.0866282)
 [0,0.0866325)
 [0,0.0866338)
 [0,0.0866384)
 [0,0.0866463)
 [0,0.0866469)
 [0,0.0866502)
 [0,0.0866536)
 [0,0.0866579)
 [0,0.0866646)
 [0,0.0866648)
 [0,0.086665)
 [0,0.0866655)
 [0,0.0866711)
 [0,0.0866744)
 [0,0.0866873)
 [0,0.086688)
 [0,0.086693)
 [0,0.0867038)
 [0,0.0867099)
 [0,0.0867153)
 [0,0.0867462)
 [0,0.0867525)
 [0,0.0867707)
 [0,0.0867867)
 [0,0.0868036)
 [0,0.0868042)
 [0,0.0868061)
 [0,0.0868103)
 [0,0.086813)
 [0,0.0868136)
 [0,0.0868168)
 [0,0.0868183)
 [0,0.0868403)
 [0,0.0868439)
 [0,0.0868511)
 [0,0.0868536)
 [0,0.0868553)
 [0,0.0868563)
 [0,0.0868602)
 [0,0.0868612)
 [0,0.0868648)
 [0,0.0868656)
 [0,0.0868685)
 [0,0.0868686)
 [0,0.0868777)
 [0,0.0868789)
 [0,0.086879)
 [0,0.0868861)
 [0,0.0868875)
 [0,0.0868906)
 [0,0.0869026)
 [0,0.0869027)
 [0,0.0869105)
 [0,0.0869135)
 [0,0.0869164)
 [0,0.086919)
 [0,0.0869193)
 [0,0.0869198)
 [0,0.0869224)
 [0,0.0869288)
 [0,0.0869293)
 [0,0.0869333)
 [0,0.0869428)
 [0,0.0869515)
 [0,0.0869545)
 [0,0.0869673)
 [0,0.0869735)
 [0,0.0869761)
 [0,0.0869837)
 [0,0.0869895)
 [0,0.0870009)
 [0,0.0870211)
 [0,0.0870366)
 [0,0.0870433)
 [0,0.087047)
 [0,0.0870638)
 [0,0.0870887)
 [0,0.087092)
 [0,0.0870989)
 [0,0.0871)
 [0,0.0871028)
 [0,0.087106)
 [0,0.0871114)
 [0,0.0871141)
 [0,0.0871209)
 [0,0.087124)
 [0,0.0871242)
 [0,0.0871267)
 [0,0.0871327)
 [0,0.0871384)
 [0,0.0871662)
 [0,0.0871697)
 [0,0.0871738)
 [0,0.0871826)
 [0,0.0871981)
 [0,0.0872005)
 [0,0.0872109)
 [0,0.0872141)
 [0,0.0872216)
 [0,0.0872444)
 [0,0.0872479)
 [0,0.087253)
 [0,0.0872532)
 [0,0.0872566)
 [0,0.0872596)
 [0,0.0872616)
 [0,0.0872623)
 [0,0.0872659)
 [0,0.0872737)
 [0,0.0872746)
 [0,0.0872803)
 [0,0.0872915)
 [0,0.0872962)
 [0,0.0872962)
 [0,0.087297)
 [0,0.0873023)
 [0,0.0873047)
 [0,0.0873051)
 [0,0.0873052)
 [0,0.0873135)
 [0,0.0873148)
 [0,0.0873176)
 [0,0.0873242)
 [0,0.0873275)
 [0,0.0873408)
 [0,0.0873412)
 [0,0.0873465)
 [0,0.0873525)
 [0,0.087354)
 [0,0.0873627)
 [0,0.0873644)
 [0,0.0873648)
 [0,0.0873655)
 [0,0.0873753)
 [0,0.0873764)
 [0,0.087378)
 [0,0.0873793)
 [0,0.0873817)
 [0,0.0873831)
 [0,0.0873841)
 [0,0.0873883)
 [0,0.0873912)
 [0,0.0873914)
 [0,0.0873979)
 [0,0.0874031)
 [0,0.0874092)
 [0,0.087421)
 [0,0.0874278)
 [0,0.0874378)
 [0,0.0874388)
